Site,Title,Company,Ratings,Reviews,Experience,Salary,Location,Description,Job_Post_History,URL
Naukri,"Senior Analyst, Data Analytics",Wirewebs Digital Solutions,,,3-6 Yrs ,Not disclosed ,Ahmedabad ," Strong knowledge of and experience with Excel, databases (Redshift, Oracle etc.)Finance...",30+ Days Ago,https://www.naukri.com/job-listings-senior-analyst-data-analytics-wirewebs-digital-solutions-ahmedabad-3-to-6-years-161020501038
Naukri,Consultant/Sr. Consultant - Data Analyst,ResourceTree Global Services,,,5-10 Yrs ,Not disclosed ,"Ahmedabad, Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Delhi / NCR, Bangalore/Bengaluru "," Bachelors Degree in Engineering, Computer Science or related disciplines with strong ma...",30+ Days Ago,https://www.naukri.com/job-listings-consultant-sr-consultant-data-analyst-resourcetree-global-services-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-ahmedabad-delhi-ncr-bangalore-bengaluru-5-to-10-years-021222908480
Naukri,Data Analyst / Web Research Analyst / Procurement Analyst in Ahmedabad,Adeshara Outsourcing Solutions,,,0-5 Yrs ,"2,25,000 - 3,25,000 PA. ",Ahmedabad(Navrangpura) , Adeshara Outsourcing Solutions PVT LTD (BPO / KPO) based in Ahmedabad is looking for Gr...,23 Days Ago,https://www.naukri.com/job-listings-data-analyst-web-research-analyst-procurement-analyst-in-ahmedabad-adeshara-outsourcing-solutions-ahmedabad-0-to-5-years-231222004353
Naukri,Data Analyst,Milestone Internet Marketing,3.6,21 Reviews,2-5 Yrs ,Not disclosed ,"Ahmedabad, Bangalore/Bengaluru ", Experienced data analyst with a minimum 2+ years of hands-on experience in tracking imp...,30+ Days Ago,https://www.naukri.com/job-listings-data-analyst-milestone-internet-marketing-pvt-ltd-ahmedabad-bangalore-bengaluru-2-to-5-years-231021500390
Naukri,Associate Data Analyst,Otis,4.2,486 Reviews,3-8 Yrs ,Not disclosed ,"Ahmedabad, Hyderabad/Secunderabad, Bangalore/Bengaluru ", This position is primarily responsible for: Functional and Technical Knowledge of Oracl...,30+ Days Ago,https://www.naukri.com/job-listings-associate-data-analyst-otis-hyderabad-secunderabad-ahmedabad-bangalore-bengaluru-3-to-8-years-290721501051
Naukri,Data Analyst,Milestone Internet Marketing,3.6,21 Reviews,2-7 Yrs ,Not disclosed ,"Ahmedabad, Bangalore/Bengaluru ", Bachelor s degree in Computer Science or Engineering Experience in working with marketi...,30+ Days Ago,https://www.naukri.com/job-listings-data-analyst-milestone-internet-marketing-pvt-ltd-ahmedabad-bangalore-bengaluru-2-to-7-years-170822502990
Naukri,Data Analyst - Python/Pandas,Career Infosystem,,,2-4 Yrs ,Not disclosed ,"Ahmedabad, Kolkata, Mumbai, Hyderabad/Secunderabad, Lucknow, Chennai, Delhi / NCR, Bangalore/Bengaluru "," Develop and coordinate the design, development and integration for Wealth and Trust app...",17 Days Ago,https://www.naukri.com/job-listings-data-analyst-python-pandas-career-infosystem-kolkata-mumbai-hyderabad-secunderabad-lucknow-chennai-ahmedabad-delhi-ncr-bangalore-bengaluru-2-to-4-years-291222906538
Naukri,Data Analyst - Python / Power BI,Huquo Consulting Pvt. Ltd,,,5-10 Yrs ,Not disclosed ,"Ahmedabad, Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Delhi / NCR, Bangalore/Bengaluru ", Min 5+ years of relevant experience in understanding applications from end-to-end persp...,23 Days Ago,https://www.naukri.com/job-listings-data-analyst-python-power-bi-huquo-consulting-pvt-ltd-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-ahmedabad-delhi-ncr-bangalore-bengaluru-5-to-10-years-231222912861
Naukri,Senior Data Science Analyst,Otis,4.2,486 Reviews,3-7 Yrs ,Not disclosed ,"Ahmedabad, Hyderabad, Bengaluru "," Education: Bachelors or Masters in Engineering, data science, statistics, applied math ...",30+ Days Ago,https://www.naukri.com/job-listings-senior-data-science-analyst-otis-hyderabad-secunderabad-ahmedabad-bengaluru-bangalore-3-to-7-years-080121500742
Naukri,Data Analyst,Quickxpert Infotech,3.4,29 Reviews,0-5 Yrs ,Not disclosed ,"Ahmedabad, Kolkata, Indore, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas) ", We have immediate openings for Data Analyst Trainees for our clients. Interested candid...,9 Days Ago,https://www.naukri.com/job-listings-data-analyst-quickxpert-infotech-kolkata-indore-hyderabad-secunderabad-pune-ahmedabad-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-0-to-5-years-200722010262
